Id,Claw_length_cm,Size_cm,Tail_length_cm,Weight_kg,Specie,Sub_specie,Sub_specie_category,Endangered
39,7.102,52.019,5.65,3.116,three_toed,Pygmy three-toed sloth,5,critically_endangered
40,7.898,49.059,4.292,3.13,three_toed,Pygmy three-toed sloth,5,critically_endangered
41,7.587,50.877,6.435,3.097,three_toed,Pygmy three-toed sloth,5,critically_endangered
42,5.512,50.352,5.65,3.525,three_toed,Pygmy three-toed sloth,5,critically_endangered
43,7.865,51.299,5.232,3.85,three_toed,Pygmy three-toed sloth,5,critically_endangered
44,5.868,49,6.386,1.407,three_toed,Pygmy three-toed sloth,5,critically_endangered
45,7.059,50.259,5.352,1.634,three_toed,Pygmy three-toed sloth,5,critically_endangered
46,7.905,50.576,4.807,2.636,three_toed,Pygmy three-toed sloth,5,critically_endangered
47,8.534,50.106,5.746,5.745,three_toed,Pygmy three-toed sloth,5,critically_endangered
48,8.112,49.317,5.457,2.664,three_toed,Pygmy three-toed sloth,5,critically_endangered
49,7.221,51.054,5.69,4.442,three_toed,Pygmy three-toed sloth,5,critically_endangered
50,7.019,49.829,6.777,1.965,three_toed,Pygmy three-toed sloth,5,critically_endangered
51,7.229,49.655,4.682,0.948,three_toed,Pygmy three-toed sloth,5,critically_endangered
52,7.355,49.968,6.478,1.333,three_toed,Pygmy three-toed sloth,5,critically_endangered
53,6.559,49.835,6.167,3.968,three_toed,Pygmy three-toed sloth,5,critically_endangered
54,7.286,48.72,5.38,5.7,three_toed,Pygmy three-toed sloth,5,critically_endangered
55,7.313,48.703,5.699,2.015,three_toed,Pygmy three-toed sloth,5,critically_endangered
56,6.12,50.694,6.026,3.438,three_toed,Pygmy three-toed sloth,5,critically_endangered
57,8.465,51.984,4.237,3.204,three_toed,Pygmy three-toed sloth,5,critically_endangered
58,5.297,49.46,5.747,3.091,three_toed,Pygmy three-toed sloth,5,critically_endangered
59,8.171,51.354,5.029,1.769,three_toed,Pygmy three-toed sloth,5,critically_endangered
60,8.437,50.565,5.246,2.678,three_toed,Pygmy three-toed sloth,5,critically_endangered
61,8.859,51.305,6.286,3.888,three_toed,Pygmy three-toed sloth,5,critically_endangered
62,8.065,51.681,3.646,3.233,three_toed,Pygmy three-toed sloth,5,critically_endangered
63,7.489,51.2,5.941,4.394,three_toed,Pygmy three-toed sloth,5,critically_endangered
64,6.901,48.936,5.849,1.863,three_toed,Pygmy three-toed sloth,5,critically_endangered
65,7.255,49.716,4.914,4.278,three_toed,Pygmy three-toed sloth,5,critically_endangered
66,8.609,51.726,6.883,1.188,three_toed,Pygmy three-toed sloth,5,critically_endangered
67,9.072,50.969,7.299,1.691,three_toed,Pygmy three-toed sloth,5,critically_endangered
68,6.319,49.303,4.1,1.794,three_toed,Pygmy three-toed sloth,5,critically_endangered
69,8.051,49.588,3.395,3.058,three_toed,Pygmy three-toed sloth,5,critically_endangered
70,8.544,52.075,4.812,2.573,three_toed,Pygmy three-toed sloth,5,critically_endangered
71,7.021,49.596,6.118,3.081,three_toed,Pygmy three-toed sloth,5,critically_endangered
72,8.83,50.115,6.198,4.153,three_toed,Pygmy three-toed sloth,5,critically_endangered
73,5.746,65.815,5.069,4.175,three_toed,Maned three-toed sloth,4,vulnerable
74,9.977,63.677,5.464,4.976,three_toed,Maned three-toed sloth,4,vulnerable
75,8.857,64.526,6.742,5.847,three_toed,Maned three-toed sloth,4,vulnerable
76,8.941,63.789,5.25,7.087,three_toed,Maned three-toed sloth,4,vulnerable
77,7.825,63.747,5.422,4.951,three_toed,Maned three-toed sloth,4,vulnerable
78,7.016,66.549,3.458,6.009,three_toed,Maned three-toed sloth,4,vulnerable
79,6.075,62.638,3.914,7.218,three_toed,Maned three-toed sloth,4,vulnerable
80,8.178,63.911,4.035,5.913,three_toed,Maned three-toed sloth,4,vulnerable
81,6.514,64.194,5.8,6.635,three_toed,Maned three-toed sloth,4,vulnerable
82,7.306,61.993,4.181,4.051,three_toed,Maned three-toed sloth,4,vulnerable
83,4.947,63.264,3.379,6.891,three_toed,Maned three-toed sloth,4,vulnerable
84,7.925,62.745,5.687,4.664,three_toed,Maned three-toed sloth,4,vulnerable
85,6.789,63.175,5.129,4.799,three_toed,Maned three-toed sloth,4,vulnerable
86,7.139,64.098,3.992,6.427,three_toed,Maned three-toed sloth,4,vulnerable
87,7.098,61.599,5.114,5.93,three_toed,Maned three-toed sloth,4,vulnerable
88,6.801,63.303,2.107,5.101,three_toed,Maned three-toed sloth,4,vulnerable
89,7.99,63.415,3.887,4.246,three_toed,Maned three-toed sloth,4,vulnerable
90,8.055,62.183,4.548,4.784,three_toed,Maned three-toed sloth,4,vulnerable
91,7.213,62.6,5.874,7.646,three_toed,Maned three-toed sloth,4,vulnerable
92,8.192,63.249,5.283,5.963,three_toed,Maned three-toed sloth,4,vulnerable
93,8.5,62.524,5.003,5.21,three_toed,Maned three-toed sloth,4,vulnerable
94,4.628,61.865,2.616,3.752,three_toed,Maned three-toed sloth,4,vulnerable
95,8.598,63.073,4.241,6.086,three_toed,Maned three-toed sloth,4,vulnerable
96,6.629,63.003,5.885,4.529,three_toed,Maned three-toed sloth,4,vulnerable
97,10.012,63.308,4.028,4.44,three_toed,Maned three-toed sloth,4,vulnerable
98,7.919,63.978,5.069,6.986,three_toed,Maned three-toed sloth,4,vulnerable
99,8.543,61.204,5.642,6.157,three_toed,Maned three-toed sloth,4,vulnerable
100,6.928,64.074,4.99,4.545,three_toed,Maned three-toed sloth,4,vulnerable
101,8.1,62.491,5.675,6.826,three_toed,Maned three-toed sloth,4,vulnerable
102,7.637,65.444,5.307,5.37,three_toed,Maned three-toed sloth,4,vulnerable
103,8.584,65.054,6.456,4.577,three_toed,Maned three-toed sloth,4,vulnerable
104,8.004,64.306,6.093,7.441,three_toed,Maned three-toed sloth,4,vulnerable
105,6.976,63.189,4.905,7.146,three_toed,Maned three-toed sloth,4,vulnerable
106,7.791,63.942,5.947,8.005,three_toed,Maned three-toed sloth,4,vulnerable
107,6.438,63.834,4.653,5.707,three_toed,Maned three-toed sloth,4,vulnerable
108,8.11,63.708,5.672,4.297,three_toed,Maned three-toed sloth,4,vulnerable
109,7.563,63.22,5.225,5.948,three_toed,Maned three-toed sloth,4,vulnerable
110,8.003,63.146,3.655,6.49,three_toed,Maned three-toed sloth,4,vulnerable
111,7.467,64.823,4.544,4.726,three_toed,Maned three-toed sloth,4,vulnerable
112,7.483,63.974,5.24,6.594,three_toed,Maned three-toed sloth,4,vulnerable
113,7.129,64.528,5.328,5.412,three_toed,Maned three-toed sloth,4,vulnerable
114,7.154,64.282,4.861,4.336,three_toed,Maned three-toed sloth,4,vulnerable
115,8.978,61.977,4.151,5.635,three_toed,Maned three-toed sloth,4,vulnerable
116,7.268,61.703,4.935,4.902,three_toed,Maned three-toed sloth,4,vulnerable
117,7.045,62.952,5.412,3.441,three_toed,Maned three-toed sloth,4,vulnerable
118,6.674,64.169,4.574,4.937,three_toed,Maned three-toed sloth,4,vulnerable
119,5.298,64.139,6.986,5.864,three_toed,Maned three-toed sloth,4,vulnerable
120,6.765,64.484,7.348,5.356,three_toed,Maned three-toed sloth,4,vulnerable
121,7.215,65.057,3.841,4.695,three_toed,Maned three-toed sloth,4,vulnerable
122,9.341,63.135,5.712,6.341,three_toed,Maned three-toed sloth,4,vulnerable
123,7.003,62.148,4.887,7.478,three_toed,Maned three-toed sloth,4,vulnerable
124,7.126,62.356,2.835,6.246,three_toed,Maned three-toed sloth,4,vulnerable
125,6.039,63.989,5.699,5.608,three_toed,Maned three-toed sloth,4,vulnerable
126,7.652,63.205,6.265,5.159,three_toed,Maned three-toed sloth,4,vulnerable
127,7.084,65.176,4.118,6.094,three_toed,Maned three-toed sloth,4,vulnerable
128,6.884,62.845,4.214,5.512,three_toed,Maned three-toed sloth,4,vulnerable
129,7.156,63.034,5.713,6.79,three_toed,Maned three-toed sloth,4,vulnerable
130,6.631,63.738,5.652,5.804,three_toed,Maned three-toed sloth,4,vulnerable
131,8.3,62.134,3.748,5.703,three_toed,Maned three-toed sloth,4,vulnerable
132,7.669,62.638,4.821,5.32,three_toed,Maned three-toed sloth,4,vulnerable
133,5.872,64.69,4.964,7.565,three_toed,Maned three-toed sloth,4,vulnerable
134,7.196,63.364,4.786,4.651,three_toed,Maned three-toed sloth,4,vulnerable
135,7.046,64.604,3.823,5.493,three_toed,Maned three-toed sloth,4,vulnerable
136,6.4,65.015,6.268,5.977,three_toed,Maned three-toed sloth,4,vulnerable
137,6.432,63.064,5.732,5.978,three_toed,Maned three-toed sloth,4,vulnerable
138,8.349,63.066,4.642,6.435,three_toed,Maned three-toed sloth,4,vulnerable
139,6.696,63.073,4.914,5.425,three_toed,Maned three-toed sloth,4,vulnerable
140,6.143,62.76,6.698,7.476,three_toed,Maned three-toed sloth,4,vulnerable
141,7.121,64.721,4.865,5.207,three_toed,Maned three-toed sloth,4,vulnerable
142,7.888,62.333,4.663,5.009,three_toed,Maned three-toed sloth,4,vulnerable
143,8.033,64.321,4.198,4.853,three_toed,Maned three-toed sloth,4,vulnerable
144,8.434,63.629,4.738,4.698,three_toed,Maned three-toed sloth,4,vulnerable
145,6.706,63.676,3.575,6.01,three_toed,Maned three-toed sloth,4,vulnerable
146,7.79,62.203,3.814,3.981,three_toed,Maned three-toed sloth,4,vulnerable
147,9.013,63.051,4.001,5.351,three_toed,Maned three-toed sloth,4,vulnerable
148,7.715,63.971,5.733,6.871,three_toed,Maned three-toed sloth,4,vulnerable
149,7.804,63.218,5.199,4.423,three_toed,Maned three-toed sloth,4,vulnerable
150,8.154,63.618,2.526,6.185,three_toed,Maned three-toed sloth,4,vulnerable
151,7.794,63.957,5.257,4.903,three_toed,Maned three-toed sloth,4,vulnerable
152,6.647,63.525,4.101,3.54,three_toed,Maned three-toed sloth,4,vulnerable
153,7.423,62.331,4.752,5.653,three_toed,Maned three-toed sloth,4,vulnerable
154,8.15,63.207,3.58,5.092,three_toed,Maned three-toed sloth,4,vulnerable
155,9.738,63.562,4.508,6.75,three_toed,Maned three-toed sloth,4,vulnerable
156,6.19,61.987,4.331,5.027,three_toed,Maned three-toed sloth,4,vulnerable
157,8.826,64.488,4.32,4.824,three_toed,Maned three-toed sloth,4,vulnerable
158,9.383,64.055,5.889,5.706,three_toed,Maned three-toed sloth,4,vulnerable
159,7.592,64.316,2.963,5.631,three_toed,Maned three-toed sloth,4,vulnerable
160,6.946,64.423,4.242,5.788,three_toed,Maned three-toed sloth,4,vulnerable
161,7.667,64.312,4.738,5.813,three_toed,Maned three-toed sloth,4,vulnerable
162,7.6,62.699,5.579,7.132,three_toed,Maned three-toed sloth,4,vulnerable
163,7.789,64.287,4.881,5.912,three_toed,Maned three-toed sloth,4,vulnerable
164,7.69,62.524,5.805,6.916,three_toed,Maned three-toed sloth,4,vulnerable
165,6.412,63.749,3.961,5.89,three_toed,Maned three-toed sloth,4,vulnerable
166,5.7,61.946,4.257,5.934,three_toed,Maned three-toed sloth,4,vulnerable
167,6.692,63.378,7.262,5.625,three_toed,Maned three-toed sloth,4,vulnerable
168,7.455,62.357,4.629,4.619,three_toed,Maned three-toed sloth,4,vulnerable
169,8.522,63.937,4.73,4.675,three_toed,Maned three-toed sloth,4,vulnerable
170,7.804,64.829,4.566,4.022,three_toed,Maned three-toed sloth,4,vulnerable
171,7.475,62.713,5.26,5.344,three_toed,Maned three-toed sloth,4,vulnerable
172,7.662,64.995,5.33,6.28,three_toed,Maned three-toed sloth,4,vulnerable
173,6.05,63.637,4.612,6.133,three_toed,Maned three-toed sloth,4,vulnerable
174,8.303,64.857,5.493,5.417,three_toed,Maned three-toed sloth,4,vulnerable
175,6.16,64.326,5.128,6.704,three_toed,Maned three-toed sloth,4,vulnerable
176,9.38,65.837,4.894,4.911,three_toed,Maned three-toed sloth,4,vulnerable
177,8.289,63.384,5.021,4.34,three_toed,Maned three-toed sloth,4,vulnerable
178,7.931,64.22,3.006,6.309,three_toed,Maned three-toed sloth,4,vulnerable
179,7.258,64.128,5.246,5.95,three_toed,Maned three-toed sloth,4,vulnerable
180,9.019,61.702,4.898,4.909,three_toed,Maned three-toed sloth,4,vulnerable
181,6.844,64.31,3.152,5.63,three_toed,Maned three-toed sloth,4,vulnerable
182,7.525,61.507,3.361,4.899,three_toed,Maned three-toed sloth,4,vulnerable
183,7.262,63.678,4.989,6.211,three_toed,Maned three-toed sloth,4,vulnerable
184,5.693,62.684,4.545,6.648,three_toed,Maned three-toed sloth,4,vulnerable
185,8.766,62.454,6.256,6.379,three_toed,Maned three-toed sloth,4,vulnerable
186,6.098,64.251,3.006,6.294,three_toed,Maned three-toed sloth,4,vulnerable
187,10.281,64.186,3.827,7.137,three_toed,Maned three-toed sloth,4,vulnerable
188,6.57,64.369,6.378,6.249,three_toed,Maned three-toed sloth,4,vulnerable
189,8.351,62.249,4.297,5.652,three_toed,Maned three-toed sloth,4,vulnerable
190,7.854,64.309,5.848,5.11,three_toed,Maned three-toed sloth,4,vulnerable
191,8.147,65.173,5.496,4.971,three_toed,Maned three-toed sloth,4,vulnerable
192,8.664,61.723,5.507,5.438,three_toed,Maned three-toed sloth,4,vulnerable
193,6.207,64.5,3.859,6.366,three_toed,Maned three-toed sloth,4,vulnerable
194,7.142,64.038,4.171,5.401,three_toed,Maned three-toed sloth,4,vulnerable
195,7.99,62.65,6.114,4.727,three_toed,Maned three-toed sloth,4,vulnerable
196,6.3,63.686,4.376,6.316,three_toed,Maned three-toed sloth,4,vulnerable
197,8.697,62.256,4.129,4.953,three_toed,Maned three-toed sloth,4,vulnerable
198,5.876,65.015,3.224,6.356,three_toed,Maned three-toed sloth,4,vulnerable
199,7.09,63.53,6.137,6.498,three_toed,Maned three-toed sloth,4,vulnerable
200,9.365,62.094,4.321,5.604,three_toed,Maned three-toed sloth,4,vulnerable
201,5.936,62.92,4.966,4.682,three_toed,Maned three-toed sloth,4,vulnerable
202,8.32,64.523,4.952,7.377,three_toed,Maned three-toed sloth,4,vulnerable
203,6.375,61.809,4.425,6.624,three_toed,Maned three-toed sloth,4,vulnerable
204,7.072,63.023,6.715,5.324,three_toed,Maned three-toed sloth,4,vulnerable
205,8.041,65.159,3.643,5.709,three_toed,Maned three-toed sloth,4,vulnerable
206,8.914,64.757,4.681,7.601,three_toed,Maned three-toed sloth,4,vulnerable
207,10,62.688,4.54,5.666,three_toed,Maned three-toed sloth,4,vulnerable
208,6.807,63.262,4.576,5.75,three_toed,Maned three-toed sloth,4,vulnerable
209,7.44,61.337,3.416,6.701,three_toed,Maned three-toed sloth,4,vulnerable
210,7.539,64.871,4.196,6.399,three_toed,Maned three-toed sloth,4,vulnerable
211,6.152,64.478,4.143,6.407,three_toed,Maned three-toed sloth,4,vulnerable
212,8.561,64.593,3.687,4.369,three_toed,Maned three-toed sloth,4,vulnerable
213,6.799,65.383,2.913,6.231,three_toed,Maned three-toed sloth,4,vulnerable
214,8.206,61.442,6.036,4.985,three_toed,Maned three-toed sloth,4,vulnerable
215,6.187,62.061,4.258,5.444,three_toed,Maned three-toed sloth,4,vulnerable
216,8.921,64.373,3.808,7.029,three_toed,Maned three-toed sloth,4,vulnerable
217,6.559,63.081,2.018,5.972,three_toed,Maned three-toed sloth,4,vulnerable
218,6.67,63.702,5.91,5.146,three_toed,Maned three-toed sloth,4,vulnerable
219,8.212,63.978,3.924,5.623,three_toed,Maned three-toed sloth,4,vulnerable
220,8.134,62.468,4.536,5.056,three_toed,Maned three-toed sloth,4,vulnerable
221,7.522,65.305,6.538,5.195,three_toed,Maned three-toed sloth,4,vulnerable
222,8.702,63.607,4.333,4.426,three_toed,Maned three-toed sloth,4,vulnerable
223,6.849,64.24,2.966,4.38,three_toed,Maned three-toed sloth,4,vulnerable
224,5.097,60.906,4.095,5.421,three_toed,Maned three-toed sloth,4,vulnerable
225,5.705,62.847,5.941,6.331,three_toed,Maned three-toed sloth,4,vulnerable
226,7.986,62.981,5.936,6.648,three_toed,Maned three-toed sloth,4,vulnerable
227,5.856,63.464,4.05,5.598,three_toed,Maned three-toed sloth,4,vulnerable
228,7.1,61.642,4.956,5.33,three_toed,Maned three-toed sloth,4,vulnerable
229,7.93,63.799,4.975,5.737,three_toed,Maned three-toed sloth,4,vulnerable
230,8.129,64.019,4.641,6.615,three_toed,Maned three-toed sloth,4,vulnerable
231,7.274,63.147,6.363,4.191,three_toed,Maned three-toed sloth,4,vulnerable
232,8.294,62.804,4.934,6.67,three_toed,Maned three-toed sloth,4,vulnerable
233,7.008,62.967,5.437,4.564,three_toed,Maned three-toed sloth,4,vulnerable
234,7.242,63.616,5.43,5.002,three_toed,Maned three-toed sloth,4,vulnerable
235,7.041,63.985,5.511,6.061,three_toed,Maned three-toed sloth,4,vulnerable
236,7.579,63.101,4.174,6.875,three_toed,Maned three-toed sloth,4,vulnerable
237,7.939,62.701,4.765,6.33,three_toed,Maned three-toed sloth,4,vulnerable
238,8.118,65.036,3.319,2.859,three_toed,Maned three-toed sloth,4,vulnerable
239,8.264,64.423,4.654,5.668,three_toed,Maned three-toed sloth,4,vulnerable
240,7.491,63.17,4.316,5.487,three_toed,Maned three-toed sloth,4,vulnerable
241,9.275,62.885,4.396,5.519,three_toed,Maned three-toed sloth,4,vulnerable
242,8.77,61.936,4.868,5.983,three_toed,Maned three-toed sloth,4,vulnerable
243,8.914,64.381,4.512,5.594,three_toed,Maned three-toed sloth,4,vulnerable
244,9.255,63.147,6.084,4.994,three_toed,Maned three-toed sloth,4,vulnerable
245,7.233,64.541,4.95,5.914,three_toed,Maned three-toed sloth,4,vulnerable
246,7.249,63.532,2.677,5.347,three_toed,Maned three-toed sloth,4,vulnerable
247,8.1,64.488,3.864,5.115,three_toed,Maned three-toed sloth,4,vulnerable
248,6.139,62.8,5.208,6.793,three_toed,Maned three-toed sloth,4,vulnerable
249,7.101,62.291,3.793,5.677,three_toed,Maned three-toed sloth,4,vulnerable
250,9.211,62.639,4.396,5.596,three_toed,Maned three-toed sloth,4,vulnerable
251,7.032,65.962,4.971,6.451,three_toed,Maned three-toed sloth,4,vulnerable
252,7.906,63.639,6.189,5.981,three_toed,Maned three-toed sloth,4,vulnerable
253,7.545,63.488,4.385,6.129,three_toed,Maned three-toed sloth,4,vulnerable
254,8.861,63.503,4.157,5.627,three_toed,Maned three-toed sloth,4,vulnerable
255,6.896,62.811,6.267,5.213,three_toed,Maned three-toed sloth,4,vulnerable
256,6.546,64.309,4.593,6.484,three_toed,Maned three-toed sloth,4,vulnerable
257,9.411,62.424,5.877,4.455,three_toed,Maned three-toed sloth,4,vulnerable
258,6.086,63.904,5.909,4.557,three_toed,Maned three-toed sloth,4,vulnerable
259,7.88,63.456,5.85,4.444,three_toed,Maned three-toed sloth,4,vulnerable
260,7.935,62.824,5.196,5.89,three_toed,Maned three-toed sloth,4,vulnerable
261,7.109,62.739,5.541,6.527,three_toed,Maned three-toed sloth,4,vulnerable
262,6.366,63.424,5.847,6.432,three_toed,Maned three-toed sloth,4,vulnerable
263,6.982,62.471,4.297,6.558,three_toed,Maned three-toed sloth,4,vulnerable
264,6.905,63.459,4.851,4.836,three_toed,Maned three-toed sloth,4,vulnerable
265,6.422,62.809,3.671,5.833,three_toed,Maned three-toed sloth,4,vulnerable
266,7.062,64.996,3.396,5.661,three_toed,Maned three-toed sloth,4,vulnerable
267,5.749,60.699,5.258,5.605,three_toed,Maned three-toed sloth,4,vulnerable
268,7.144,64.116,3.936,4.371,three_toed,Maned three-toed sloth,4,vulnerable
269,6.978,62.094,5.933,4.818,three_toed,Maned three-toed sloth,4,vulnerable
270,7.124,63.765,7.195,5.498,three_toed,Maned three-toed sloth,4,vulnerable
271,10.342,64.229,6.616,5.605,three_toed,Maned three-toed sloth,4,vulnerable
272,7.808,62.714,5.5,6.551,three_toed,Maned three-toed sloth,4,vulnerable
273,7.54,64.27,5.772,5.558,three_toed,Maned three-toed sloth,4,vulnerable
274,7.917,63.753,4.952,5.161,three_toed,Maned three-toed sloth,4,vulnerable
275,7.737,63.078,4.568,5.746,three_toed,Maned three-toed sloth,4,vulnerable
276,6.369,63.83,4.088,5.308,three_toed,Maned three-toed sloth,4,vulnerable
277,7.11,63.825,5.281,6.297,three_toed,Maned three-toed sloth,4,vulnerable
278,7.09,62.236,5.794,7.547,three_toed,Maned three-toed sloth,4,vulnerable
279,7.777,63.267,4.767,6.638,three_toed,Maned three-toed sloth,4,vulnerable
280,7.809,63.268,5.056,4.805,three_toed,Maned three-toed sloth,4,vulnerable
281,6.305,62.909,7.107,6.09,three_toed,Maned three-toed sloth,4,vulnerable
282,7.316,64.309,5.996,7.099,three_toed,Maned three-toed sloth,4,vulnerable
283,7.029,64.918,4.855,3.602,three_toed,Maned three-toed sloth,4,vulnerable
284,6.638,62.981,4.398,4.451,three_toed,Maned three-toed sloth,4,vulnerable
285,8.002,63.051,4.891,4.572,three_toed,Maned three-toed sloth,4,vulnerable
286,7.03,63.156,4.234,6.248,three_toed,Maned three-toed sloth,4,vulnerable
287,8.277,63.443,5.033,7.935,three_toed,Maned three-toed sloth,4,vulnerable
288,7.546,62.909,5.521,5.981,three_toed,Maned three-toed sloth,4,vulnerable
289,5.462,62.918,3.295,5.831,three_toed,Maned three-toed sloth,4,vulnerable
290,8.975,64.295,4.873,7.092,three_toed,Maned three-toed sloth,4,vulnerable
291,9.347,65.115,1.783,4.869,three_toed,Maned three-toed sloth,4,vulnerable
292,10.511,63.946,6.559,8.132,three_toed,Maned three-toed sloth,4,vulnerable
293,9.458,62.154,4.835,4.425,three_toed,Maned three-toed sloth,4,vulnerable
294,6.782,62.818,6.381,6.459,three_toed,Maned three-toed sloth,4,vulnerable
295,7.201,62.548,3.975,4.72,three_toed,Maned three-toed sloth,4,vulnerable
296,5.918,63.596,4.245,8.222,three_toed,Maned three-toed sloth,4,vulnerable
297,6.899,63.233,4.163,6.68,three_toed,Maned three-toed sloth,4,vulnerable
298,9.422,64.178,6.34,7.58,three_toed,Maned three-toed sloth,4,vulnerable
299,8.162,64.121,5.87,5.332,three_toed,Maned three-toed sloth,4,vulnerable
300,6.633,63.959,5.569,5.347,three_toed,Maned three-toed sloth,4,vulnerable
301,8.413,63.776,6.469,7.362,three_toed,Maned three-toed sloth,4,vulnerable
302,5.004,63.055,4.889,5.623,three_toed,Maned three-toed sloth,4,vulnerable
303,7.159,62.337,5.087,6.934,three_toed,Maned three-toed sloth,4,vulnerable
304,6.973,63.342,4.631,6.344,three_toed,Maned three-toed sloth,4,vulnerable
305,7.898,62.384,4.984,5.102,three_toed,Maned three-toed sloth,4,vulnerable
306,7.887,63.452,4.724,6.525,three_toed,Maned three-toed sloth,4,vulnerable
307,7.364,64.377,1.112,6.2,three_toed,Maned three-toed sloth,4,vulnerable
308,6.403,62.647,3.505,3.954,three_toed,Maned three-toed sloth,4,vulnerable
309,7.173,64.081,3.958,5.986,three_toed,Maned three-toed sloth,4,vulnerable
310,8.808,63.704,3.732,5.652,three_toed,Maned three-toed sloth,4,vulnerable
311,7.058,62.734,6.096,5.186,three_toed,Maned three-toed sloth,4,vulnerable
312,8.866,63.967,5.276,5.537,three_toed,Maned three-toed sloth,4,vulnerable
313,8.224,65.008,5.965,6.962,three_toed,Maned three-toed sloth,4,vulnerable
314,8.159,62.576,4.359,5.683,three_toed,Maned three-toed sloth,4,vulnerable
315,10.179,62.822,4.565,5.83,three_toed,Maned three-toed sloth,4,vulnerable
316,7.466,63.895,4.655,5.462,three_toed,Maned three-toed sloth,4,vulnerable
317,7.393,62.166,6.597,5.735,three_toed,Maned three-toed sloth,4,vulnerable
318,8.105,63.257,4.561,5.151,three_toed,Maned three-toed sloth,4,vulnerable
319,7.114,63.712,4.15,5.585,three_toed,Maned three-toed sloth,4,vulnerable
320,8.817,63.353,4.418,5.258,three_toed,Maned three-toed sloth,4,vulnerable
321,7.685,62.622,4.3,5.738,three_toed,Maned three-toed sloth,4,vulnerable
322,7.864,63.248,5.351,3.868,three_toed,Maned three-toed sloth,4,vulnerable
323,7.399,63.836,5.797,6.2,three_toed,Maned three-toed sloth,4,vulnerable
324,8.667,62.118,5.001,4.871,three_toed,Maned three-toed sloth,4,vulnerable
